,abstract,stemmed
48,the aim of this research is to determine the supporting factors for the implementation of mobile learning for elementary school students in indonesia using an authentic approach and realworld activities this is significant because various approaches to mobile learning have been used in elementary institutions however this educational model is not ideal because the data shows that 92 of students have learning difficulties and 38 state they do not receive teachers guidancethe method used was descriptive quantitative with the population of elementary school students and a purposively selected sample of 26 of those pupils samples were taken based on the characteristics of the coastal area and city center to assess their entry behavior questionnaires and test sheets were used moreover data was gathered through home visits and the whatsapp application it was then processed using the percentage technique and the smartpls application to obtain accurate results in addition a qualitative approach was used to develop the analysisaccording to the results the supporting factors for the implementation of mobile learning using an authentic approach and realworld activities are as follows 1 students already have the concrete and logical thinking skills 2 the entry behavior of students are still low and 3 visual and auditory learning styles affect meaningful learning furthermore research suggests that teachers and learning designers should create mobile learning exercises which support authentic learning and realworld pursuits ,the aim of this research is to determin the support factor for the implement of mobil learn for elementari school student in indonesia use an authent approach and realworld activ this is signific becaus various approach to mobil learn have been use in elementari institut howev this educ model is not ideal becaus the data show that 92 of student have learn difficulti and 38 state they do not receiv teacher guidanceth method use was descript quantit with the popul of elementari school student and a purpos select sampl of 26 of those pupil sampl were taken base on the characterist of the coastal area and citi center to assess their entri behavior questionnair and test sheet were use moreov data was gather through home visit and the whatsapp applic it was then process use the percentag techniqu and the smartpl applic to obtain accur result in addit a qualit approach was use to develop the analysisaccord to the result the support factor for the implement of mobil learn use an authent approach and realworld activ are as follow 1 student alreadi have the concret and logic think skill 2 the entri behavior of student are still low and 3 visual and auditori learn style affect meaning learn furthermor research suggest that teacher and learn design should creat mobil learn exercis which support authent learn and realworld pursuits 
68,this study aimed to develop an android learning media on the concept of redox as an effective efficient practical realtime learning media and in accordance with the facilities owned by students and evaluate the quality and usability of the app the approach used in this research was a quantitative approach in the form of development research while the model used was the hannafin and peck 1988 model the data of this study were collected from the process of development expert evaluations expert reviews and small group evaluation 20 students of the chemistry education study program at a university in indonesia volunteered to use and evaluate the app data was collected by using questionnaires the results indicated that the quality of the application obtained from expert review was 947 furthermore the small group evaluation shows that the usability of  version 11 scored 867 the androidbased learning media of redox concept redokspro application version 11 could be utilized as a mobile learning resource in learning the specific concept of reduction and oxydation reactions,this studi aim to develop an android learn media on the concept of redox as an effect effici practic realtim learn media and in accord with the facil own by student and evalu the qualiti and usabl of the app the approach use in this research was a quantit approach in the form of develop research while the model use was the hannafin and peck 1988 model the data of this studi were collect from the process of develop expert evalu expert review and small group evalu 20 student of the chemistri educ studi program at a univers in indonesia volunt to use and evalu the app data was collect by use questionnair the result indic that the qualiti of the applic obtain from expert review was 947 furthermor the small group evalu show that the usabl of  version 11 score 867 the androidbas learn media of redox concept redokspro applic version 11 could be util as a mobil learn resourc in learn the specif concept of reduct and oxyd reaction
77,this paper aims to explore the various problems associated with the technological pedagogical and psychological aspects of mobile learning and develop recommendations for its improvement  mobile learning becomes increasingly popular today this type of learning is relatively new it has recently gained popularity due to the pandemic restrictions in 2020 as mobile learning is being actively used educators students and other professionals begin to note its positive and negative sides  the study is based on the method of experiment as well as an online 11item questionnaire was conducted developed by authors with 110 teachers in russian universities russian state university named by an kosygina im sechenov first moscow state medical university and kuban state technological university  the practical significance and prospects for further research are based on the possibility of using the results in further study of the problem of the impact of mobile applications on specific indicators  it was found that given the great prevalence of mobile devices today there is every reason to implement mobile learning at universities however there are infrastructural problems that prevent the widespread use of this mode of delivery problems with the internet old gadgets that do not support 4g lack of technical support etc teachers also mention a set of problems associated with the quality of such training which are mainly related to pedagogical and psychological aspects of the process about 56 of university teachers say that students often behave irresponsibly during online classes they are inattentive tend to skip lessons and do not hand in the tasks which leads to a decline of knowledge and failing at tests and exams around 68 of teachers have difficulties adapting their teaching methods to a mobile learning environment   this study proposes structured recommendations to improve the quality of mobile learning by advancing technology skills adapting mobile learning to the needs of universities and raising the motivation of teachers and students  the results of the study can be used to analyze and compare the impact of mobile learning on society efficiency in various fields as well as mobile learning of students on future employment and life in societyin the future it will be important to conduct a comparative analysis of the impact of mobile learning on students and teachers to study the effectiveness of such learning in general,this paper aim to explor the various problem associ with the technolog pedagog and psycholog aspect of mobil learn and develop recommend for it improv  mobil learn becom increas popular today this type of learn is relat new it has recent gain popular due to the pandem restrict in 2020 as mobil learn is be activ use educ student and other profession begin to note it posit and negat side  the studi is base on the method of experi as well as an onlin 11item questionnair was conduct develop by author with 110 teacher in russian univers russian state univers name by an kosygina im sechenov first moscow state medic univers and kuban state technolog univers  the practic signific and prospect for further research are base on the possibl of use the result in further studi of the problem of the impact of mobil applic on specif indic  it was found that given the great preval of mobil devic today there is everi reason to implement mobil learn at univers howev there are infrastructur problem that prevent the widespread use of this mode of deliveri problem with the internet old gadget that do not support 4g lack of technic support etc teacher also mention a set of problem associ with the qualiti of such train which are main relat to pedagog and psycholog aspect of the process about 56 of univers teacher say that student often behav irrespons dure onlin class they are inattent tend to skip lesson and do not hand in the task which lead to a declin of knowledg and fail at test and exam around 68 of teacher have difficulti adapt their teach method to a mobil learn environ   this studi propos structur recommend to improv the qualiti of mobil learn by advanc technolog skill adapt mobil learn to the need of univers and rais the motiv of teacher and student  the result of the studi can be use to analyz and compar the impact of mobil learn on societi effici in various field as well as mobil learn of student on futur employ and life in societyin the futur it will be import to conduct a compar analysi of the impact of mobil learn on student and teacher to studi the effect of such learn in general
93,the saudi arabian government is committed to updating and improving its education system thus in march 2017 a project was declared to convert the existing bookbased methodology to modern mobile technology in the k12 education space by 2021 as part of this process a deepdive literature review of student acceptance of mobile learning confirmed that there was limited research into what elements had an effect on how much students were likely to accept learning with mobile applications in the five to 18yearold demographic of k12 the conclusion of the literature review was that the saudi arabian education ministry must acquire an understanding of these elements in order to strategize the implementation of the new technology this study approached high school students aged 16 – 18 in saudi arabia to examine the elements which would influence their acceptance of mobile learning technology the research consolidated known elements of education namely learning selfmanagement system quality and hedonic motivation with the unified theory of acceptance and use of technology utaut to create a significant theoretical model for the new technology in a high school setting conclusions were drawn that societal influence did not affect the students approach to mobile learning but that learning selfmanagement the expectancy of effort and performance hedonic motivation and the quality of the system did affect the acceptance behaviour of the students it was also noted that gender was not a significant factor in the study,the saudi arabian govern is commit to updat and improv it educ system thus in march 2017 a project was declar to convert the exist bookbas methodolog to modern mobil technolog in the k12 educ space by 2021 as part of this process a deepdiv literatur review of student accept of mobil learn confirm that there was limit research into what element had an effect on how much student were like to accept learn with mobil applic in the five to 18yearold demograph of k12 the conclus of the literatur review was that the saudi arabian educ ministri must acquir an understand of these element in order to strateg the implement of the new technolog this studi approach high school student age 16 – 18 in saudi arabia to examin the element which would influenc their accept of mobil learn technolog the research consolid known element of educ name learn selfmanag system qualiti and hedon motiv with the unifi theori of accept and use of technolog utaut to creat a signific theoret model for the new technolog in a high school set conclus were drawn that societ influenc did not affect the student approach to mobil learn but that learn selfmanag the expect of effort and perform hedon motiv and the qualiti of the system did affect the accept behaviour of the student it was also note that gender was not a signific factor in the studi
95,since 2020 covid 19 has completely changed the daily activities of almost all nations and education has been heavily affected because of school closures facetoface classrooms were halted or replaced with online classes in which both lecturers and learners had to adjust their teaching and learning styles to cope with unexpected situations the ‘new normal of learning from homes spending hours staring at screens and struggling with piles of online tasks has somehow demotivated students to continue learning this study explores factors affecting students desire to take online courses after experiencing elearning during covid 19 nine hundred fiftyfive students of vietnam national university took part in the survey via an online questionnaire data were analyzed using spss20 correlation hierarchical regression was employed to examine how online factors influence students decision the research results showed that skill enhancement selfregulated learning lecturer interaction during the course were among the most important predictors of students desire to take more online courses in contrast student interaction imposed no significant influence this study gives the theoretical background for other studies in the same field and suggests practical implications for governments and universities to implement online training better to cope with the pandemic,sinc 2020 covid 19 has complet chang the daili activ of almost all nation and educ has been heavili affect becaus of school closur facetofac classroom were halt or replac with onlin class in which both lectur and learner had to adjust their teach and learn style to cope with unexpect situat the new normal of learn from home spend hour stare at screen and struggl with pile of onlin task has somehow demotiv student to continu learn this studi explor factor affect student desir to take onlin cours after experienc elearn dure covid 19 nine hundr fiftyf student of vietnam nation univers took part in the survey via an onlin questionnair data were analyz use spss20 correl hierarch regress was employ to examin how onlin factor influenc student decis the research result show that skill enhanc selfregul learn lectur interact dure the cours were among the most import predictor of student desir to take more onlin cours in contrast student interact impos no signific influenc this studi give the theoret background for other studi in the same field and suggest practic implic for govern and univers to implement onlin train better to cope with the pandem
196,a model consisting of five dimensions of mobile learning preferences â location level of distractions time of day level of motivation and available time â is proposed in this paper the aim of the model is to potentially increase the learning effectiveness of individuals or groups by appropriately matching and allocating mobile learning materialsapplications according to each learnerâs type examples are given our current research investigations relating to this model are described,a model consist of five dimens of mobil learn prefer â locat level of distract time of day level of motiv and avail time â is propos in this paper the aim of the model is to potenti increas the learn effect of individu or group by appropri match and alloc mobil learn materialsappl accord to each learnerâ type exampl are given our current research investig relat to this model are describ
206,this paper analyses different definitions of mobile learning which have been proposed by various researchers  the most distinctive features of mobile learning are extracted to propose a new definition for mobile educational mixed reality games memrg  a questionnaire and a quantifying scale are designed to assist the game developers in designing memrg  a new psychopedagogical approach to teaching is proposed for memrg   this methodology is based on the theme of âconversationâ between different actors of the learning community with the objective of building the architectural framework for memrg,this paper analys differ definit of mobil learn which have been propos by various research  the most distinct featur of mobil learn are extract to propos a new definit for mobil educ mix realiti game memrg  a questionnair and a quantifi scale are design to assist the game develop in design memrg  a new psychopedagog approach to teach is propos for memrg   this methodolog is base on the theme of âconversationâ between differ actor of the learn communiti with the object of build the architectur framework for memrg
216,in the last years several mobile learning courses have been experimented the increasing popularity and additional features of mobile devices is one of the key reasons for mobile learning courses development the superior portability and accessibility of those equipments makes them suitable for remote and interactive learning courses in this context this paper focuses on the implementation of a mobile learning framework for an analog electronics course this course was designed as a complement to the classic analog electronics courses this course consists of several interactive multimedia modules at the end of which students have to answer several oriented questions these give feedback about the learning process to the teacher which receives sms messages with the results a specific module is responsible for storing and managing the answers in a server where all the results from students are processed in a competitive learning based methodology application,in the last year sever mobil learn cours have been experi the increas popular and addit featur of mobil devic is one of the key reason for mobil learn cours develop the superior portabl and access of those equip make them suitabl for remot and interact learn cours in this context this paper focus on the implement of a mobil learn framework for an analog electron cours this cours was design as a complement to the classic analog electron cours this cours consist of sever interact multimedia modul at the end of which student have to answer sever orient question these give feedback about the learn process to the teacher which receiv sms messag with the result a specif modul is respons for store and manag the answer in a server where all the result from student are process in a competit learn base methodolog applic
217,the aim of this study was to examine the motivation psychology and language effect on mobile learning in the school of distance education universiti sains malaysia penang mobile learning or mlearning is a new learning phenomenon in the open and distance learning environments moving from stationary to mobile learning allows informal collaboration and interaction between learners therefore there is a necessity to revise peopleâs psychological factors process and mechanisms that underlie mlearning so that the practice can move from technologycentred implementation to humancentred effective learning processes  the statistical package for social science spss version 120 and rasch model analysis was used to measure these items the 5point likert scale questionnaires 12 items being sent to 105 distance education students from four courses including bachelor of science bachelor of arts bachelor of social science and bachelor of management which was distributed in tutorial sessions during the annual residential intensive course in the main campus of the universiti sains malaysia by their respective course managers the finding shows that a positive response from the learners as they feel happy to use this additional learning tools mobile learning learnerâs feel supported and motivated to use the mobile application with the usability of simple language,the aim of this studi was to examin the motiv psycholog and languag effect on mobil learn in the school of distanc educ univers sain malaysia penang mobil learn or mlearn is a new learn phenomenon in the open and distanc learn environ move from stationari to mobil learn allow inform collabor and interact between learner therefor there is a necess to revis peopleâ psycholog factor process and mechan that underli mlearn so that the practic can move from technologycentr implement to humancentr effect learn process  the statist packag for social scienc spss version 120 and rasch model analysi was use to measur these item the 5point likert scale questionnair 12 item be sent to 105 distanc educ student from four cours includ bachelor of scienc bachelor of art bachelor of social scienc and bachelor of manag which was distribut in tutori session dure the annual residenti intens cours in the main campus of the univers sain malaysia by their respect cours manag the find show that a posit respons from the learner as they feel happi to use this addit learn tool mobil learn learnerâ feel support and motiv to use the mobil applic with the usabl of simpl languag
222,the purpose of this study is to determine whether learners are willing to transfer learning in this mobile learning environment via sms  the reason for this is to measure the effectiveness of the new method used in learning and education especially in distance education field  for this reason studentsâ responses are gathered which looked at three factors namely learner characteristic learning design and learning environment the data are gathered through a survey research design with questionnaires using fivepoint likert scale the questionnaires was administered for 105 distance education students from four courses including bachelor of science bachelor of arts bachelor of social science and bachelor of management the rasch model analysis was used to measure these dimensions rasch model is a oneparameter logistic model within item response theory irt whereby the amount of a given latent trait in a person and the amount of that same latent trait reflected in various items can be estimated independently yet still compared explicitly to one another  the result of the study showed that learning transfer occurred and being influenced most by learnerâs characteristics especially in term of their motivation as well as their perceive utilityvalue of the sms learning to their job and academic performances,the purpos of this studi is to determin whether learner are will to transfer learn in this mobil learn environ via sms  the reason for this is to measur the effect of the new method use in learn and educ especi in distanc educ field  for this reason studentsâ respons are gather which look at three factor name learner characterist learn design and learn environ the data are gather through a survey research design with questionnair use fivepoint likert scale the questionnair was administ for 105 distanc educ student from four cours includ bachelor of scienc bachelor of art bachelor of social scienc and bachelor of manag the rasch model analysi was use to measur these dimens rasch model is a oneparamet logist model within item respons theori irt wherebi the amount of a given latent trait in a person and the amount of that same latent trait reflect in various item can be estim independ yet still compar explicit to one anoth  the result of the studi show that learn transfer occur and be influenc most by learnerâ characterist especi in term of their motiv as well as their perceiv utilityvalu of the sms learn to their job and academ perform
